YEAR,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
2023-24,Josh Giddey,OKC,27.0,25.2,11.7,4.9,11.2,43.9,0.9,2.6,33.3,1.0,1.2,81.8,1.6,4.3,5.9,4.4,0.8,0.4,2.5,14.2
2023-24,Mike Conley,MIN,29.0,29.4,11.7,3.9,8.4,46.9,2.4,5.3,45.8,1.4,1.4,95.2,0.3,2.5,2.9,6.2,1.0,0.1,1.1,16.2
2023-24,Nic Claxton,BKN,21.0,27.2,11.6,5.0,7.9,64.2,0.0,0.0,100.0,1.5,2.4,62.0,3.0,6.5,9.5,1.7,0.4,2.5,0.9,21.1
2023-24,Bruce Brown,IND,27.0,30.7,11.6,4.3,9.5,45.7,1.0,3.4,29.7,1.9,2.4,81.3,0.7,3.9,4.6,2.9,1.1,0.3,1.1,13.7
2023-24,Aaron Nesmith,IND,27.0,25.0,11.5,4.1,7.8,53.1,2.0,4.3,46.6,1.2,1.7,69.6,0.9,2.3,3.2,1.0,1.0,0.7,0.9,12.3
2023-24,Malik Beasley,MIL,28.0,29.8,11.5,4.2,8.8,47.8,2.8,6.2,45.4,0.3,0.4,66.7,0.7,3.7,4.4,1.5,0.9,0.1,0.6,13.1
2023-24,Russell Westbrook,LAC,30.0,24.3,11.4,4.6,9.9,46.5,0.6,2.3,27.5,1.6,2.5,63.5,1.6,5.0,6.6,4.7,1.1,0.5,2.3,15.7
2023-24,Corey Kispert,WAS,28.0,22.9,11.4,3.9,8.5,46.0,2.1,5.4,38.2,1.4,2.0,72.7,0.4,2.0,2.3,1.5,0.4,0.2,0.9,9.6
2023-24,Talen Horton-Tucker,UTA,28.0,22.9,11.4,4.3,10.2,41.6,1.3,3.9,33.9,1.5,1.9,81.1,0.4,2.3,2.7,4.5,1.1,0.4,1.8,11.9
2023-24,Luguentz Dort,OKC,27.0,28.4,11.3,3.7,8.0,46.8,1.9,4.4,42.9,2.0,2.4,81.5,1.2,2.8,4.0,1.3,0.9,0.9,1.0,12.6
2023-24,Gary Trent Jr.,TOR,26.0,25.4,11.3,4.2,10.3,40.4,2.1,5.7,37.4,0.8,1.3,62.9,0.2,2.0,2.2,1.5,0.6,0.1,0.7,8.5
2023-24,Santi Aldama,MEM,23.0,24.4,11.2,4.3,9.7,43.8,1.7,4.8,34.2,1.0,1.6,62.2,1.4,4.1,5.5,1.9,0.7,0.7,1.1,12.8
2023-24,Deni Avdija,WAS,29.0,26.8,11.1,4.2,8.7,48.8,0.8,2.6,32.0,1.8,2.2,81.3,1.1,4.5,5.6,3.9,0.9,0.3,1.5,15.5
2023-24,Daniel Gafford,WAS,26.0,25.8,11.1,4.6,6.5,70.0,0.0,0.0,0.0,1.9,2.7,70.4,2.9,4.8,7.7,1.7,0.8,2.2,1.2,19.6
2023-24,Jeremy Sochan,SAS,29.0,29.2,11.0,4.3,9.9,43.4,1.0,2.5,38.9,1.4,1.9,75.0,1.6,4.0,5.7,4.1,0.7,0.2,2.1,13.4
2023-24,Keyonte George,UTA,25.0,25.7,10.9,3.5,9.6,36.1,1.6,5.1,32.3,2.3,3.0,77.0,0.5,2.4,2.9,5.0,0.5,0.1,2.3,10.2
2023-24,Dario Saric,GSW,30.0,20.8,10.7,3.7,8.0,46.4,1.6,4.0,38.8,1.8,2.1,85.5,1.6,4.1,5.7,2.0,0.6,0.2,1.2,13.5
2023-24,Jordan Hawkins,NOP,27.0,23.9,10.7,3.5,9.2,38.2,2.2,6.0,36.2,1.5,1.7,87.0,0.6,2.5,3.1,1.5,0.4,0.0,0.8,9.0
2023-24,Jakob Poeltl,TOR,29.0,25.9,10.6,4.8,6.8,70.6,0.0,0.0,0.0,1.0,2.0,50.9,2.7,5.2,8.0,2.3,0.7,1.1,1.6,18.1
2023-24,Herbert Jones,NOP,28.0,29.6,10.6,3.6,7.9,45.9,1.0,3.3,31.2,2.3,2.6,86.3,1.2,2.7,3.9,2.7,1.5,1.0,1.3,13.8
2023-24,Kevin Huerter,SAC,28.0,25.0,10.6,4.0,9.3,42.5,2.0,5.7,35.2,0.6,0.8,78.3,0.6,3.3,3.9,2.7,0.7,0.3,0.7,11.9
2023-24,Marvin Bagley III,DET,24.0,19.0,10.5,4.3,7.2,59.0,0.0,0.3,16.7,2.0,2.4,82.5,1.9,2.9,4.8,1.0,0.1,0.6,1.2,12.4
2023-24,Dorian Finney-Smith,BKN,28.0,29.4,10.5,3.9,8.2,47.0,2.5,5.5,44.8,0.3,0.4,80.0,1.9,3.1,5.0,1.2,0.7,0.5,0.8,12.6
2023-24,Derrick Jones Jr.,DAL,29.0,25.0,10.4,3.8,7.8,48.0,1.6,4.4,36.7,1.2,1.7,73.5,1.2,2.3,3.6,1.1,0.8,0.8,0.8,11.2
2023-24,Isaiah Stewart,DET,28.0,30.7,10.4,3.9,8.2,47.2,1.4,3.5,39.8,1.3,1.7,74.5,1.9,5.2,7.0,1.7,0.3,0.6,1.5,13.7
