Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
432.0,Adama Sanogo,PF,21,CHI,3,0.0,3.7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,1.0,0.667,0.7,1.3,2.0,0.0,0.0,0.0,0.3,0.0,2.7,
433.0,Gui Santos,PF,21,GSW,14,0.0,8.4,1.2,2.4,0.5,0.4,1.1,0.4,0.8,1.4,0.579,0.588,1.0,1.1,0.933,0.9,1.6,2.4,0.5,0.2,0.1,0.3,1.1,3.9
434.0,Dario Šarić,C,29,GSW,57,9.0,18.4,3.1,6.6,0.465,1.3,3.4,0.382,1.8,3.2,0.552,0.563,1.3,1.5,0.864,1.2,3.5,4.8,2.4,0.5,0.2,1.2,1.9,8.7
435.0,Olivier Sarr,C,24,OKC,13,0.0,6.9,0.8,1.4,0.556,0.2,0.5,0.333,0.6,0.9,0.667,0.611,0.7,1.0,0.692,0.8,1.9,2.7,0.2,0.0,0.5,0.2,1.3,2.4
436.0,Marcus Sasser,PG,23,DET,50,0.0,16.3,2.9,6.2,0.468,1.2,2.8,0.424,1.7,3.4,0.503,0.563,0.7,0.8,0.85,0.1,1.4,1.5,3.0,0.5,0.2,1.0,1.4,7.7
437.0,Admiral Schofield,PF,26,ORL,13,0.0,3.8,0.5,1.2,0.375,0.2,0.8,0.3,0.2,0.5,0.5,0.469,0.0,0.2,0.0,0.1,0.5,0.6,0.4,0.0,0.0,0.3,0.5,1.2
438.0,Dennis Schröder,PG,30,TOT,59,37.0,29.9,4.8,11.0,0.44,1.6,4.3,0.371,3.2,6.6,0.485,0.513,2.2,2.6,0.833,0.4,2.4,2.8,5.9,0.8,0.1,1.7,2.1,13.5
439.0,Dereon Seabron,SG,23,NOP,6,0.0,9.2,0.7,2.2,0.308,0.2,0.3,0.5,0.5,1.8,0.273,0.346,0.8,1.0,0.833,0.2,1.0,1.2,0.8,0.3,0.2,0.0,0.7,2.3
440.0,Alperen Şengün,C,21,HOU,58,58.0,32.3,8.2,15.2,0.539,0.5,1.8,0.292,7.7,13.4,0.573,0.557,3.9,5.6,0.706,2.8,6.3,9.1,4.9,1.1,0.7,2.6,3.3,20.8
441.0,Brice Sensabaugh,SF,20,UTA,10,0.0,7.6,1.0,2.6,0.385,0.5,1.4,0.357,0.5,1.2,0.417,0.481,0.3,0.3,1.0,0.1,0.8,0.9,0.4,0.1,0.0,0.7,1.0,2.8
442.0,Collin Sexton,SG,25,UTA,60,37.0,24.8,6.0,12.4,0.484,1.6,4.1,0.399,4.4,8.4,0.525,0.549,4.3,5.0,0.859,0.8,1.7,2.5,4.6,0.8,0.2,2.0,2.0,17.9
443.0,Landry Shamet,SG,26,WAS,43,5.0,16.0,2.7,6.3,0.43,1.2,3.6,0.342,1.5,2.7,0.548,0.528,0.9,1.1,0.826,0.4,1.0,1.4,1.2,0.6,0.2,0.7,1.7,7.5
444.0,Day'Ron Sharpe,C,22,BRK,44,1.0,15.7,3.0,5.1,0.587,0.1,0.3,0.364,2.9,4.8,0.599,0.596,1.4,2.2,0.622,2.7,4.1,6.8,1.5,0.5,0.8,1.1,2.3,7.4
445.0,Shaedon Sharpe,SG,20,POR,32,25.0,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5.0,2.9,0.9,0.4,2.3,2.8,15.9
446.0,Ben Sheppard,SG,22,IND,37,0.0,11.6,1.4,3.3,0.41,0.8,2.2,0.337,0.6,1.1,0.564,0.525,0.4,0.5,0.824,0.2,1.1,1.3,0.8,0.5,0.1,0.2,1.4,3.8
447.0,Pascal Siakam,PF,29,TOT,59,59.0,34.0,8.4,15.8,0.534,1.2,3.5,0.341,7.2,12.3,0.589,0.572,3.7,5.0,0.735,1.5,5.0,6.5,4.7,0.8,0.3,1.9,2.4,21.7
448.0,Ben Simmons,PG,27,BRK,15,12.0,23.9,2.9,4.9,0.581,0.0,0.0,2.9,4.9,0.581,0.581,0.4,1.0,0.4,2.1,5.9,7.9,5.7,0.8,0.6,1.8,2.4,6.1,
